Probe_Set_ID	Value
248043_s_at	1
248147_at	1
248258_at	1
249193_at	1
249441_at	1
250129_at	1
250843_at	1
251225_at	1
251357_at	1
251494_at	1
251552_at	1
251660_at	1
251808_at	1
251823_at	1
251841_at	1
251865_at	1
251921_at	1
252037_at	1
252043_at	1
252135_at	1
252413_at	1
252479_at	1
253005_at	1
253095_at	1
253565_at	1
253580_at	1
253735_at	1
253921_at	1
253949_at	1
254543_at	1
254788_at	1
256333_at	1
256351_at	1
256385_at	1
256505_at	1
256511_at	1
257056_at	1
257615_at	1
257660_at	1
258394_at	1
258396_at	1
258482_at	1
258494_at	1
258554_at	1
258794_at	1
258992_at	1
259104_at	1
259121_at	1
259196_at	1
259225_at	1
259759_at	1
259803_at	1
259861_at	1
260258_at	1
260267_at	1
260425_at	1
260426_at	1
260487_at	1
260984_at	1
261227_at	1
261843_at	1
261911_at	1
262054_s_at	1
262117_at	1
262147_at	1
262250_at	1
262553_at	1
262584_at	1
262931_at	1
262948_at	1
263251_at	1
263325_at	1
263375_s_at	1
263519_at	1
263593_at	1
263691_at	1
263941_at	1
264118_at	1
264152_at	1
264506_at	1
264591_at	1
264665_at	1
264727_at	1
264769_at	1
265445_at	1
265908_at	1
266168_at	1
266237_at	1
266297_at	1
266556_at	1
266700_at	1
266768_s_at	1
267012_at	1
267201_at	1
267212_at	1
267308_at	1
267550_at	1
