Probe_Set_ID	Lsmean_ A _expanding	Lsmean_ A_fullexpand	Lsmean_A_primordia	Lsmean_ E_expanding	Lsmean_ E_fullexpand	Lsmean_E_primordia
245029_at	0.311523	0.18396	-0.41333	0.250163	0.05249	-0.51025
245031_at	-2.24707	-2.43811	-2.07031	-2.45622	-1.96802	-2.01318
245035_at	-2.09017	-1.5824	1.571289	-0.88102	-0.50024	2.068604
245039_at	-0.21419	0.308228	-1.26758	0.101074	0.520508	-1.22803
245041_at	-1.29492	-1.11047	-2.802	-1.12516	-1.03662	-2.43506
245042_at	1.023763	0.424927	0.471191	0.765137	0.028564	0.487305
245043_at	-0.01888	0.352661	-0.10327	0.050293	0.220215	-0.23975
245044_at	5.801107	5.886353	5.062988	5.823405	5.673828	4.981689
245045_at	0.583984	0.549927	1.513184	0.672038	0.773438	1.581299
245046_at	1.135091	1.271606	1.470703	1.120931	1.351074	1.448486
245047_at	2.091471	3.545044	0.455322	2.622884	3.616211	0.287842
245048_at	4.71582	4.584595	4.481445	4.700358	4.259277	4.436768
245049_at	1.024414	0.498169	0.866211	0.952311	0.24707	0.758057
245050_at	5.100586	4.959595	4.19043	4.955566	4.97998	4.088623
245051_at	-0.73145	-0.49939	-1.23926	-0.08219	-0.25513	-1.31787
245052_at	-0.88704	-0.81628	-1.29468	-0.08968	0.355957	-1.11084
245054_at	-1.2194	-1.6925	-1.01245	-1.44613	-1.4707	-0.95117
245055_at	-2.13737	-1.90173	-1.69995	-1.99072	-1.91089	-1.79028
245059_at	-0.32878	-0.51404	-0.91431	-0.21956	-0.57251	-1.00879
245060_at	3.167643	3.356079	3.302246	3.275879	3.31543	3.203857
245061_at	6.035482	5.965454	5.263672	6.038249	5.881348	5.181396
245062_at	0.298503	0.428101	0.425781	0.326009	0.560791	0.39624
245063_at	-0.57747	-1.26526	0.803223	-0.93734	-0.68286	0.844482
245064_at	-2.03223	-1.98694	-1.10986	-2.10531	-1.89697	-1.25537
245065_at	0.657552	0.933228	0.470459	0.675618	0.874512	0.319092
245066_at	-0.21712	-0.02966	-0.26294	-0.20492	-0.02319	-0.38672
245067_at	1.982747	2.113403	1.787109	2.143717	2.194336	1.855713
245074_at	-0.13444	-0.41028	-2.22754	0.127116	-0.08105	-2.15356
245078_at	-0.69271	0.013306	-0.6001	-0.99072	0.195801	-0.6936
245083_at	0.11556	0.372925	-0.11108	-0.07633	0.269287	-0.08813
245084_at	-1.9362	-2.03992	-1.78491	-1.57633	-1.59863	-1.56714
245085_at	3.053711	2.15979	3.529785	2.850098	2.239746	3.598877
245089_at	-1.68327	-1.92712	-1.17603	-1.67074	-1.91602	-1.14673
245092_at	-0.99251	-0.91614	-0.92969	-0.6792	-0.69287	-1.02222
245093_at	-1.27279	-1.52698	-1.20801	-1.50472	-1.57104	-0.99902
245094_at	2.267253	1.937134	1.299805	1.824056	1.726563	1.250732
245096_at	2.959961	3.449341	2.11084	3.167155	3.546387	1.989014
245097_at	-0.49023	-0.27429	-0.27295	-0.48128	-0.16748	-0.37085
245098_at	0.092448	0.332642	-0.09326	0.297038	0.444336	-0.09692
245099_at	-0.35872	-0.19055	-0.69165	-0.12874	-0.08228	-0.65796
245100_at	-0.55957	-0.49646	0.363525	-0.52523	-0.17944	0.361572
245101_at	0.735677	0.295532	0.589111	0.608561	0.286621	0.583008
245104_at	-0.0498	-0.24426	0.68335	-0.22021	-0.3877	0.726318
245106_at	-0.23242	-1.29773	2.274902	-0.39567	-1.11426	2.213135
245109_at	-1.1429	-1.30627	-1.03955	-1.31624	-1.68604	-1.11206
245112_at	-0.37891	-1.69128	1.140137	-0.61475	-2.00195	0.969238
245114_at	1.055013	1.1427	1.338867	1.098145	1.19873	1.227295
245115_at	2.681315	2.910278	2.666992	2.721842	2.884277	2.640869
245116_at	0.220378	0.391968	0.742432	0.400553	0.312012	0.716064
245117_at	2.800456	3.200317	1.129395	2.724447	2.966309	1.377197
245118_at	3.503581	3.041138	2.655273	3.299967	2.904297	2.785889
245120_at	-0.43652	-0.54138	0.070068	-0.56722	-0.62476	0.081543
245121_at	3.753581	2.766235	4.562988	3.331217	2.866211	4.608643
245122_at	-0.35547	-0.0946	0.029297	-0.36279	-0.11938	0.011719
245123_at	3.541341	3.374146	2.61084	3.423014	3.189941	2.719482
245124_at	1.028646	0.78064	1.663574	0.917155	0.570557	1.737549
245127_at	0.840169	1.463501	0.705078	0.856934	1.39209	0.534668
245129_at	-2.03483	-2.48523	-2.91431	-1.66781	-2.85156	-2.74731
245130_at	0.198893	-0.06799	0.803711	-0.05941	-0.84106	0.963623
245131_s_at	-0.17773	-0.21204	-0.18335	-0.41097	-0.26221	-0.08862
245133_at	-1.22656	-1.92834	-0.66089	-1.34033	-2.2019	-0.59448
245134_s_at	0.761719	0.980591	0.30542	0.723145	0.805664	0.36377
245137_at	-2.39063	-2.43738	-1.38672	-2.19255	-2.23022	-1.37402
245138_at	-0.39258	-1.40881	1.20166	-0.6818	-1.83398	1.147217
245142_at	0.27181	-0.46619	0.165039	0.064616	-0.59473	0.275635
245143_at	-1.33366	-1.14319	-1.93896	-1.20817	-1.55591	-1.83789
245144_at	0.624674	0.540894	1.410645	0.554525	0.653076	1.470459
245145_at	1.47819	0.979614	1.951172	1.187988	0.946777	1.984619
245146_at	0.22819	0.382935	0.4646	0.172689	0.461914	0.436768
245147_at	-2.18034	-2.25696	-1.09424	-2.16976	-2.30469	-1.03979
245150_at	2.961263	2.190063	2.087402	2.561035	1.950195	2.216064
245152_at	0.026042	0.109985	0.141846	0.074382	0.24292	0.104004
245155_at	2.088867	1.664185	1.82373	1.984212	1.804687	1.940186
245156_at	-1.17676	-0.79675	-0.80176	-0.85758	-0.46045	-0.86328
245164_at	2.144206	1.440063	2.847168	1.881348	1.470215	2.923096
245165_at	2.222331	1.276489	1.936035	2.021322	1.203613	2.015381
245166_at	-0.76335	-0.4425	-1.5874	-0.73551	-0.58667	-1.67603
245167_s_at	1.379232	1.635376	1.226563	1.37028	1.877441	1.171143
245168_at	2.850586	3.157837	2.798828	3.013509	3.425293	2.732178
245169_at	1.799154	1.737915	1.807129	1.820801	1.59082	1.885986
245174_at	-1.79069	-2.74182	-1.59277	-2.01481	-2.78308	-1.40015
245175_at	2.488607	2.482544	3.014648	2.538249	2.708496	3.033447
245176_at	2.094727	1.794067	0.022461	2.084473	1.70752	0.146973
245178_at	-0.26823	0.141235	-0.74756	-0.04704	0.290771	-0.8418
245179_at	-1.70052	-1.84607	-1.63086	-1.50635	-2.20264	-1.6189
245180_at	0.261719	-0.24695	0.906982	0.062663	-0.22974	0.941162
245181_at	-2.22852	-2.47839	-0.42798	-2.28467	-1.80151	-0.7356
245182_at	-1.39811	-1.3053	-1.58716	-1.30094	-1.31104	-1.44775
245183_at	-0.87142	-1.1676	-0.98242	-0.95036	-1.13062	-0.92187
245187_s_at	0.746419	0.364624	1.115234	0.699382	0.429443	1.19165
245188_at	1.229492	0.500854	0.941895	0.701009	0.13916	1.072998
245190_at	-1.40169	-2.05823	-0.79663	-1.5988	-1.98438	-0.74292
245195_at	5.12207	4.788696	3.833008	5.023275	4.635742	3.895264
245196_at	0.533203	-0.45422	1.240234	0.247233	-1.4353	0.85083
245197_at	-0.48503	-0.31555	-2.29712	-0.36019	-0.02759	-2.14331
