Probe_Set_ID	percentchangeco2_fullexpand.x
251730_at	-20.91376525
248283_at	-20.91372447
262748_at	-20.87334205
260065_at	-20.83312694
250317_at	-20.80659648
251068_at	-20.67246034
266929_at	-20.61871428
250366_at	-20.61870778
266648_at	-20.60531324
248409_at	-20.59191813
264377_at	-20.59178693
258988_at	-20.57803617
249953_at	-20.51138546
246849_at	-20.5113551
259665_at	-20.51117382
265319_at	-20.45745747
256015_at	-20.43046112
246053_at	-20.41648443
256402_at	-20.34928737
248903_at	-20.32266948
264247_at	-20.30921025
247216_at	-20.20119716
263640_at	-20.20113729
265201_at	-20.13358712
267362_at	-20.09320415
252934_at	-20.06601402
262157_at	-20.06600416
262909_at	-20.02549099
252391_at	-19.99842447
262454_at	-19.97890475
247741_at	-19.95789279
255696_at	-19.95744766
245338_at	-19.87632647
245809_at	-19.82225217
246069_at	-19.80855047
257033_at	-19.78154426
257602_at	-19.72742375
249282_at	-19.70008524
252979_at	-19.69998275
246074_at	-19.65922997
266904_at	-19.64557771
255033_at	-19.57757511
264781_at	-19.56402063
261668_at	-19.5503547
247766_at	-19.53682198
245712_at	-19.50949174
245718_at	-19.46877662
246847_at	-19.46860719
256321_at	-19.45527832
263867_at	-19.42776655
245112_at	-19.37336106
263957_at	-19.26403315
263226_at	-19.22293228
253300_at	-19.20934928
259818_at	-19.18183356
260347_at	-19.15463433
251157_at	-19.15461839
257587_at	-19.15446432
257313_at	-19.09984849
262355_at	-19.04513432
264198_at	-19.01769299
247036_at	-18.99049226
257596_at	-18.8805275
251445_at	-18.86651494
251122_at	-18.8255821
251559_at	-18.79814555
251333_at	-18.75731927
249641_at	-18.75678693
247348_at	-18.71569092
251676_at	-18.66081899
246508_at	-18.66060772
247261_at	-18.57791526
262809_at	-18.55046017
267092_at	-18.55036637
266300_at	-18.52282816
256186_at	-18.52282281
245532_at	-18.46767377
256836_at	-18.44005449
261685_at	-18.42602404
251853_at	-18.37118558
264664_at	-18.31570921
254616_at	-18.27427252
256769_at	-18.26022604
259806_at	-18.24661453
253966_at	-18.24639252
247161_at	-18.21893016
264078_at	-18.21892028
263912_at	-18.21890443
260675_at	-18.20516486
246427_at	-18.17757718
258788_at	-18.16353982
258970_at	-18.10814277
252185_at	-18.09463519
254535_at	-18.09429612
261921_at	-18.08045376
264728_at	-18.08043734
248764_at	-18.08043161
247325_at	-18.08041129
246005_at	-18.06622567
261495_at	-18.03899667
247549_at	-17.99719988
250016_at	-17.96944881
252823_at	-17.96932292
251140_at	-17.95552108
253302_at	-17.94165816
264793_at	-17.8724151
249925_at	-17.85840909
258641_at	-17.85829083
247845_at	-17.8441783
247439_at	-17.8304936
253255_at	-17.8304927
255829_at	-17.81660099
256965_at	-17.81647689
265212_at	-17.77433603
256820_at	-17.74719751
255808_at	-17.74707919
251278_at	-17.73277346
261639_at	-17.69134622
248547_at	-17.63579721
256160_at	-17.60773028
262559_at	-17.57986998
264315_at	-17.57985119
266414_at	-17.55193147
261783_at	-17.52400593
253337_at	-17.46814351
251714_at	-17.45419036
250327_at	-17.44027668
253810_at	-17.42649054
253547_at	-17.4123143
266119_at	-17.38434004
259673_at	-17.37042498
257985_at	-17.37032923
262263_at	-17.35640964
245806_at	-17.30043981
256671_at	-17.30036445
260356_at	-17.27238729
261518_at	-17.27238413
249375_at	-17.23053612
262969_at	-17.20236224
260229_at	-17.17435688
250885_at	-17.13231377
266865_at	-17.07622238
263298_at	-17.04809241
266735_at	-17.04808668
261293_at	-17.02003665
250017_at	-16.99193717
258705_at	-16.97835537
253926_at	-16.97786672
250824_at	-16.96382001
250505_at	-16.93574339
265521_at	-16.92135255
260236_at	-16.90762314
247083_at	-16.90753679
245426_at	-16.90752447
246124_at	-16.87946633
260014_at	-16.87945197
249742_at	-16.87942233
260793_at	-16.86538194
254221_at	-16.82320644
266028_at	-16.79529934
247101_at	-16.79500538
257880_at	-16.76692501
267492_at	-16.76692115
265021_at	-16.73865231
254727_at	-16.71053327
263048_s_at	-16.68234773
259430_at	-16.68231631
254877_at	-16.6678696
251816_at	-16.62593674
250262_at	-16.62592446
254485_at	-16.62590388
265800_at	-16.59800291
262025_at	-16.59775576
266099_at	-16.59770053
264158_at	-16.56944104
263425_at	-16.54157033
249049_at	-16.54118611
254923_at	-16.4846388
247415_at	-16.47053069
262954_at	-16.45636462
265033_at	-16.34325345
258124_at	-16.32907249
250125_at	-16.28657753
245984_at	-16.25809694
249799_at	-16.24392571
261583_at	-16.22991605
249691_at	-16.20158671
253420_at	-16.20158303
254119_at	-16.14485988
252711_at	-16.14481423
254089_at	-16.11636951
249651_at	-16.11635926
254576_at	-16.04546139
253237_at	-16.03126249
264700_at	-16.0312449
261279_at	-16.03121335
251641_at	-15.9602026
250560_at	-15.94597957
AFFX-DapX-M_at	-15.94590026
247153_at	-15.84635484
261355_at	-15.80357017
257008_at	-15.80356923
254969_at	-15.77485617
246097_at	-15.71806082
245843_at	-15.70377149
260370_at	-15.66099083
246154_at	-15.66098666
266018_at	-15.60384945
251133_at	-15.56096735
260082_at	-15.54675651
246466_at	-15.53238425
250900_at	-15.53221524
256770_at	-15.50371175
253610_at	-15.40367035
265394_at	-15.36064348
265392_at	-15.3177193
263118_at	-15.15983294
260465_at	-15.11684178
254356_at	-15.05940842
262753_at	-15.03026926
258375_at	-15.00182933
246613_at	-14.97312173
264656_at	-14.95872435
264177_at	-14.88672805
258499_at	-14.85817522
247890_at	-14.85791635
253739_at	-14.84344798
248817_at	-14.74254525
250272_at	-14.71368872
AFFX-LysX-M_at	-14.68460381
248461_s_at	-14.65596959
259111_at	-14.56923858
258041_at	-14.55440624
260384_at	-14.54037711
249331_at	-14.48244841
258015_at	-14.48244032
257808_at	-14.46839755
248906_at	-14.45354411
247401_at	-14.4535316
261866_at	-14.43925984
263000_at	-14.36661864
265795_at	-14.36656841
250851_at	-14.27962963
252922_at	-14.2796245
245358_at	-14.22158128
262598_at	-14.16351825
254790_at	-14.13445091
254267_at	-14.1199751
251883_at	-14.07629508
257723_at	-14.06175292
253412_at	-14.04723481
AFFX-r2-Ec-bioC-3_at	-14.04719401
257510_at	-13.90167309
262823_at	-13.90161868
258048_at	-13.90161004
255788_at	-13.8725095
258773_at	-13.84365462
251244_at	-13.82863117
256115_at	-13.66824655
252180_at	-13.58095366
257965_at	-13.53660621
258568_at	-13.52195799
256482_at	-13.463426
248795_at	-13.44876666
251670_at	-13.39018716
259591_at	-13.37556253
257789_at	-13.37549052
247316_at	-13.3169075
247405_at	-13.28757105
251305_at	-13.11126618
257749_at	-13.02299354
260454_at	-13.00826616
267356_at	-13.00826588
250436_at	-13.00825356
259237_at	-12.96414359
251807_at	-12.8756338
255679_at	-12.81696915
251860_at	-12.7576856
260442_at	-12.74292502
253581_at	-12.71336922
263590_at	-12.58032706
262820_at	-12.56553006
251040_at	-12.5358805
250111_at	-12.52115746
261457_at	-12.49140781
255483_at	-12.46183959
264474_s_at	-12.43222086
249228_at	-12.40259158
248883_at	-12.38749319
250397_at	-12.34321393
263247_at	-12.28397804
260636_at	-12.15021087
263053_at	-12.1357059
255886_at	-12.13531916
266856_at	-12.12051711
250768_at	-12.10573683
252824_at	-12.0758689
253307_at	-12.01632779
260436_at	-12.01630337
254388_at	-11.98654101
265843_at	-11.92705281
250763_at	-11.89714221
265593_s_at	-11.89712421
257374_at	-11.85198495
260912_at	-11.83745265
262980_at	-11.80762256
247523_at	-11.7777793
248034_at	-11.74791319
251150_at	-11.74783105
266207_at	-11.35872387
251376_at	-11.32879576
263906_at	-11.26870066
250226_at	-11.23866861
246583_at	-11.13321531
266582_at	-10.98298471
265148_at	-10.9378154
257238_at	-10.90784428
259092_at	-10.8774296
254615_at	-10.87740554
249948_at	-10.86275108
256277_at	-10.78698225
250430_at	-10.78693813
258637_at	-10.72647256
262848_at	-10.66599357
262784_at	-10.57532211
255674_at	-10.51473881
245270_at	-10.42382956
245211_at	-10.36316553
260800_at	-10.30255264
248557_at	-10.24176632
247552_at	-9.937464046
264418_at	-9.876457753
264140_at	-9.784923832
252023_at	-9.616813551
267185_at	-9.494384208
259594_at	-9.356405998
261880_at	-9.187588246
250854_at	-9.110711963
255731_at	-9.049143249
258310_at	-8.555330298
262453_at	-8.555016805
249690_at	-8.245245906
259627_at	-7.934152977
262195_at	-7.778241317
265575_at	-7.684620188
255070_at	-7.559482717
261572_at	-7.371567807
248882_at	-7.089004678
265669_at	-6.616212588
246156_at	5.949296104
263665_at	8.086168489
258500_at	8.746649567
264399_at	9.041493046
249217_at	9.078472491
267368_at	9.411245521
250954_at	9.485278756
260138_at	9.707871252
259639_at	10.30355492
251237_at	10.49039403
254165_at	10.56517701
257662_at	11.18405581
247009_at	11.31616141
248109_at	11.76922931
253135_at	11.76923372
248792_at	12.1101637
259434_at	12.26201975
246221_at	12.77614474
251773_at	13.02454007
267104_at	13.13930017
252931_at	13.21617637
267301_at	13.29264298
255736_at	13.46524651
246628_at	13.48446466
265402_at	13.56124901
253868_at	13.59978098
254776_at	13.73443217
247188_at	13.75365181
265822_at	13.77293156
260153_at	14.06207185
258401_at	14.15866471
266482_at	14.19726099
250849_at	14.52633621
264675_at	14.52633981
266721_at	14.52640177
248884_at	14.56506743
245333_at	14.72024328
263749_at	14.73970808
255966_at	14.83678588
252387_at	14.91455949
262457_at	14.95349047
246398_at	15.05070563
254103_at	15.10916967
AFFX-Athal-Actin_3_f_at	15.14808776
250929_at	15.14822718
262499_at	15.42126707
252606_at	15.49946793
256035_at	15.5776042
263785_at	15.5776361
267154_at	15.61681681
265352_at	15.65590422
250923_at	15.77332631
247722_at	15.81258493
251733_at	15.96956403
266474_at	16.02774558
246945_s_at	16.06766079
245765_at	16.14616911
258665_at	16.34294817
253783_at	16.44141996
261112_at	16.4805751
253121_at	16.59913412
252134_at	16.65832829
245786_at	16.69797788
251327_at	16.89550198
245373_s_at	16.91528151
253647_at	16.99445041
250846_at	17.03409466
249711_at	17.03410414
258372_at	17.054458
266136_at	17.13315737
259341_at	17.15273678
259256_at	17.1529168
257006_at	17.17287758
255325_at	17.23237785
257621_at	17.29161666
245266_at	17.33137355
250486_at	17.37126112
250032_at	17.39112742
253469_at	17.39136932
255624_at	17.51034344
249863_at	17.59000837
255629_at	17.66962505
253167_at	17.74927371
264089_at	17.78909738
255767_at	17.80906677
263472_at	17.92872409
258105_at	18.18840119
264385_at	18.26895565
250510_at	18.34854932
247403_at	18.34856673
248868_at	18.46875899
246131_at	18.74977801
254594_at	18.81006652
248524_s_at	18.8301496
259105_at	18.83025901
257700_at	18.87044503
264922_s_at	18.87047415
254348_at	19.01132474
250097_at	19.11198312
257657_at	19.21285858
260281_at	19.43492374
263786_at	19.43501284
260724_at	19.45519779
263274_at	19.6169663
255011_at	19.75885833
265461_at	19.9616398
264956_at	19.96164147
249580_at	19.98230574
246035_at	20.16478169
255496_at	20.16487001
256016_at	20.30732175
249089_at	20.32726995
251954_at	20.32751827
248589_at	20.32763366
261458_at	20.32764091
AFFX-Athal-GAPDH_3_s_at	20.36837301
264570_at	20.38893441
247971_at	20.40869351
253196_at	20.40907113
264299_s_at	20.40914877
249385_at	20.49063677
249183_at	20.53140186
256962_at	20.57215208
251624_at	20.65387385
254331_s_at	20.7355249
250941_at	20.81680663
258536_at	20.95999133
267023_at	21.10388499
267468_at	21.28832742
249652_at	21.30902874
258811_at	21.35008846
255714_at	21.3911407
266461_at	21.43219425
262944_at	21.43219846
264398_at	21.43221215
257805_at	21.51447282
246460_at	21.53471178
251117_at	21.53494287
250921_at	21.55557273
265358_at	21.59676479
256835_at	21.59676672
262899_at	21.67904261
251659_at	21.72024825
262161_at	21.7614295
254690_at	21.84397351
255586_at	21.88537126
261500_at	21.92644718
245359_at	22.00891971
250831_at	22.00893588
267363_at	22.09162646
266105_at	22.17432228
256064_at	22.27760306
252328_at	22.4225864
250307_at	22.46395428
265187_at	22.58844202
246529_at	22.67136397
249178_at	22.67140913
262950_at	22.67143604
266206_at	22.67148854
254375_at	22.69245804
262686_at	22.71293375
251786_at	22.7131498
252193_at	22.75483736
257088_at	22.87921524
246396_at	22.90001019
258108_at	22.92077824
252573_at	23.23371129
256838_at	23.25412176
259588_at	23.44193339
263112_at	23.4622599
250007_at	23.52593936
248126_at	23.54640978
263777_at	23.67203532
267460_at	23.75575309
254192_at	23.92334818
266137_at	23.94430728
258173_at	23.98636818
250726_at	24.09102262
249835_s_at	24.11226855
265583_at	24.19602363
258164_at	24.30224777
257665_at	24.36495245
258011_at	24.42716848
267374_at	24.42770548
257334_at	24.4486778
256240_at	24.55397064
251528_at	24.55402418
246976_s_at	24.57511971
247132_at	24.59624763
AFFX-r2-At-GAPDH-5_s_at	24.7228762
251475_at	24.72315852
266334_at	24.74391389
261792_at	24.76511312
265735_at	24.80726689
267392_at	24.84949432
246744_at	24.89182056
264373_at	24.89184818
246289_at	24.91298297
265269_at	25.14584936
261412_at	25.18810951
245998_at	25.35763654
260651_at	25.40005875
267199_at	25.50637162
265375_at	25.52747818
264123_at	25.61249486
251205_at	25.74011413
264974_at	25.74070585
264382_at	25.82520542
250836_at	25.88883005
245951_at	25.95303477
247060_at	26.03828951
262694_at	26.10235523
258000_at	26.2090165
245156_at	26.25164164
259395_at	26.25183286
253954_at	26.2945258
257406_at	26.40142476
258251_at	26.59410104
262775_at	26.61605545
267605_at	26.63705078
253646_at	26.67984833
259551_at	26.72223122
259752_at	26.72271885
250185_at	26.7230606
253691_at	26.8513849
266101_at	26.85148039
265384_at	26.89434567
256755_at	26.9157831
262913_at	26.95879007
253273_at	27.10924574
260590_at	27.1092807
258140_at	27.19530319
246143_at	27.38915167
262571_at	27.41106562
250738_at	27.47555943
250930_at	27.60553384
AFFX-Athal-GAPDH_5_s_at	27.62658842
257654_at	27.77806702
251640_at	27.9293404
259474_at	27.92934665
248944_at	28.0158941
250627_at	28.06008309
246682_at	28.471681
258894_at	28.49289802
248394_at	28.51523308
254174_at	28.60199715
263419_at	28.62391927
254723_at	28.71106342
246253_at	28.77672355
249095_at	28.90717052
252915_at	28.92901979
AFFX-Athal-GAPDH_M_s_at	29.01631018
259626_at	29.19109104
250818_at	29.19112108
251643_at	29.25669114
248983_at	29.27856232
247212_at	29.3876353
246870_at	29.45368622
260847_s_at	29.62913039
250234_at	29.67293016
253987_at	29.82652382
255967_at	29.84868783
259232_at	30.00272594
262657_at	30.26689939
254549_at	30.37716907
253506_at	30.44264297
254291_at	30.44329048
245395_at	30.6638382
256069_at	30.75274578
249625_at	30.79697977
251342_at	31.018474
260419_at	31.04074242
265868_at	31.21835932
255512_at	31.26294996
246270_at	31.30703961
262749_at	31.39597097
261081_at	31.64109027
265872_at	31.66298597
261225_at	31.66305772
259928_at	31.73068737
257216_at	31.75229681
248945_at	31.88604264
247571_at	31.93075835
249266_at	31.93078642
261405_at	32.02022692
248512_at	32.06470945
253063_at	32.08708225
247540_at	32.19889209
249078_at	32.28840482
255904_at	32.37774556
250094_at	32.37799413
258915_at	32.42273369
261933_at	32.42274763
247864_s_at	32.5348686
260362_at	32.557749
258566_at	32.60175378
260602_at	32.62471032
266150_s_at	32.69184581
264770_at	32.91694562
248820_at	33.14161228
258555_at	33.18688093
253606_at	33.23202243
264351_at	33.25511529
266261_at	33.27711846
254083_at	33.27716971
253716_at	33.27762058
245899_at	33.52484911
251406_at	33.52497898
258921_at	33.66105588
264355_at	33.70631085
267364_at	33.84285944
260367_at	33.90956802
262793_at	33.95545179
261806_at	34.02284017
254833_s_at	34.18233915
259219_at	34.34092702
247464_at	34.43231561
255742_at	34.50051217
254894_at	34.86510937
253088_at	34.97900991
262932_at	35.13937171
246384_at	35.23095389
252095_at	35.32251154
261191_at	35.39085727
251594_at	35.41443569
258507_at	35.48306379
261032_at	35.55196125
258437_at	35.59754466
254256_at	35.59755678
251760_at	35.6661856
263804_at	35.78128194
245084_at	35.78175568
255148_at	35.91914291
247389_at	35.94182434
258072_at	36.24095333
267624_at	36.26450566
262667_at	36.40285899
254957_at	36.70352143
266781_at	36.72743082
260852_at	36.84227939
265530_at	36.88867097
251649_at	36.93498792
264000_at	36.93506864
250480_at	37.09722288
261413_at	37.14277901
261378_at	37.14370157
253377_at	37.21338881
264859_at	37.42259372
248138_at	37.53881919
258588_s_at	37.58537185
255923_at	37.7951508
253464_at	37.91198443
249798_at	37.95777917
264838_at	37.95862425
260418_s_at	37.98176335
AFFX-r2-At-GAPDH-3_s_at	38.00518128
248981_at	38.02850405
247454_at	38.16873567
263583_at	38.28569422
248833_at	38.33249225
264488_s_at	38.37927612
248415_at	38.44945006
260772_at	38.63702134
255230_at	38.6837902
266617_at	38.68403278
259560_at	38.82480785
260002_at	38.87126796
245200_at	38.9658116
257708_at	38.96603331
261167_at	38.98932668
254040_at	38.98940529
265075_at	39.03652518
251386_at	39.08353424
247338_at	39.10721719
247494_at	39.31920275
248162_at	39.36632467
266181_at	39.46071013
264592_at	39.50792422
262507_at	39.72013019
245293_at	39.76789534
263632_at	39.93341381
254592_at	40.2653742
249806_at	40.26551864
264893_at	40.31277379
258786_at	40.43162176
250990_at	40.83628947
256183_at	40.93142501
259130_at	40.93165367
258201_at	41.02701645
259842_at	41.12251047
251104_at	41.1942109
246290_at	41.31381914
251182_at	41.36155415
254166_at	41.64903797
250829_at	41.74483199
267084_at	41.86485175
245694_at	41.88933928
255953_at	42.00880294
266097_at	42.08101613
262344_at	42.22452832
265446_at	42.32174053
252378_at	42.32228402
253841_at	42.56267675
253950_at	42.61097416
262504_at	42.75588063
255508_at	42.94978901
250289_at	43.14288386
262289_at	43.1670941
252076_at	43.40944237
245879_at	44.04196058
264655_at	44.26144902
257844_at	44.31026802
254190_at	44.33477901
261951_at	44.38304936
