"Probe_Set_ID"	"Transcript_ID_Array_Design_.x"	"Variance_Residual.x"	"SumVariance.x"	"SampleVariance.x"	"RSquare.x"	"F_T3_co2.x"	"F_T3_dev.x"	"F_T3_co2_dev.x"	"PrF_T3_co2.x"	"PrF_T3_dev.x"	"PrF_T3_co2_dev.x"	"Lsmean_co2_A.x"	"Lsmean_co2_E.x"	"Lsmean_dev_expanding.x"	"Lsmean_dev_fullexpand.x"	"Lsmean_dev_primordia.x"	"LinearLsmean_A_expanding.x"	"linearLsmean_A_fullexpand.x"	"linearLsmean_A_primordia.x"	"linearLsmean_E_expanding.x"	"linearLsmean_E_fullexpand.x"	"linearLsmean_E_primordia.x"	"percentage_A_PvX.x"	"percentage_A_PvE.x"	"percentage_A_EvX.x"	"percentage_E_PvX.x"	"percentage_E_PvE.x"	"percentage_E_EvX.x"	"neglog10pvalue_A_expanding_E_expanding.x"	"neglog10pvalue_A_fullexpand_E_fullexpand.x"	"neglog10pvalue_A_primordia_E_primordia.x"	"Cluster.x"	"Transcript_ID_Array_Design_.y"	"Variance_Residual.y"	"SumVariance.y"	"SampleVariance.y"	"RSquare.y"	"F_T3_co2.y"	"F_T3_dev.y"	"F_T3_co2_dev.y"	"PrF_T3_co2.y"	"PrF_T3_dev.y"	"PrF_T3_co2_dev.y"	"Lsmean_co2_A.y"	"Lsmean_co2_E.y"	"Lsmean_dev_expanding.y"	"Lsmean_dev_fullexpand.y"	"Lsmean_dev_primordia.y"	"LinearLsmean_A_expanding.y"	"linearLsmean_A_fullexpand.y"	"linearLsmean_A_primordia.y"	"linearLsmean_E_expanding.y"	"linearLsmean_E_fullexpand.y"	"linearLsmean_E_primordia.y"	"percentage_A_PvX.y"	"percentage_A_PvE.y"	"percentage_A_EvX.y"	"percentage_E_PvX.y"	"percentage_E_PvE.y"	"percentage_E_EvX.y"	"neglog10pvalue_A_expanding_E_expanding.y"	"neglog10pvalue_A_fullexpand_E_fullexpand.y"	"neglog10pvalue_A_primordia_E_primordia.y"	"Cluster.y"	"percentchangeco2_fullexpand.x"	"percentchangeco2_fullexpand.y"
"256922_at"	"At3g19010"	0.105578	0.105578	1.30408	0.938316	13.1465	112.691	2.03956	0.0023	9.999e-05	0.1626	0.260973	0.767958	0.982666	1.44342	-0.88269	1.722501	2.005592	0.498056	2.267067	3.687934	0.59059	245.8449	302.684	16.43486	283.8645	524.4487	62.67426	0.810585	2.826082	0.522183	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.8825643500772	NA
"256959_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g13440"	0.02154	0.02154	0.111308	0.852556	2.15453	38.1145	6.94787	0.1615	9.999e-05	0.0067	-0.58058	-0.67329	-0.65356	-0.93329	-0.29395	0.646374	0.598694	0.772673	0.625217	0.458038	0.861057	-16.3458	-22.5166	-7.37651	-27.3895	-46.8051	-26.7394	0.158665	2.732595	0.819137	7	NA	-23.4938048485537
"256960_at"	"At3g13510"	0.02145	0.02145	0.15713	0.89599	6.48903	58.1602	6.95261	0.0215	9.999e-05	0.0067	0.308662	0.148112	0.060465	-0.06	0.684692	1.054455	1.132351	1.591256	1.031279	0.812635	1.623626	-33.7344	-28.8392	7.387346	-36.483	-49.9493	-21.2012	0.101261	3.548484	0.106425	7	"At3g13510"	0.02145	0.02145	0.15713	0.89599	6.48903	58.1602	6.95261	0.0215	9.999e-05	0.0067	0.308662	0.148112	0.060465	-0.06	0.684692	1.054455	1.132351	1.591256	1.031279	0.812635	1.623626	-33.7344	-28.8392	7.387346	-36.483	-49.9493	-21.2012	0.101261	3.548484	0.106425	7	-28.2347081426166	-28.2347081426166
"256962_at"	"At3g13560"	0.024977	0.024977	0.040713	0.532584	6.33746	3.67185	2.59746	0.0229	0.0487	0.1055	1.44991	1.621121	1.610758	1.408508	1.58728	2.765946	2.417574	3.049131	3.372324	2.914921	2.961159	-9.28739	-20.7127	-12.595	13.88526	-1.56147	-13.5634	1.381693	1.55192	0.148475	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5721520830386	NA
"256965_at"	"At3g13450"	0.020683	0.020683	0.075744	0.791953	5.15215	25.4806	2.44801	0.0374	9.999e-05	0.1182	-0.54502	-0.68549	-0.42261	-0.50397	-0.91919	0.791373	0.777853	0.523021	0.703367	0.639267	0.534655	51.30818	48.72323	-1.7084	31.55536	19.56623	-9.11337	0.777798	1.876789	0.119761	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-17.8164768921634	NA
"256972_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g21140"	0.02241	0.02241	0.203579	0.916129	1.90123	81.0261	4.82322	0.1869	9.999e-05	0.0229	-0.18328	-0.09446	-0.45304	-0.38971	0.426147	0.77337	0.679253	1.300355	0.690006	0.857709	1.388367	-40.5263	-47.7641	-12.1697	-50.3009	-38.2217	24.30463	0.705559	2.234714	0.414186	7	NA	26.2723904053423
"256997_at"	"At3g14067"	0.020894	0.020894	0.304944	0.947797	7.435	137.997	2.92125	0.0149	9.999e-05	0.0829	0.957831	0.788222	1.12085	1.3172	0.18103	2.205263	2.839217	1.17044	2.14466	2.186928	1.0981	88.41319	142.5769	28.74728	95.30637	99.15559	1.970865	0.132054	2.697405	0.418843	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-22.9742566348398	NA
"257006_at"	"At3g14075"	0.022119	0.022119	0.054117	0.688585	9.16463	11.5109	0.94501	0.008	8e-04	0.4093	-1.12417	-0.93042	-0.92424	-0.91974	-1.23792	0.514652	0.488334	0.384184	0.539562	0.572195	0.467909	33.95979	27.10934	-5.11381	15.31339	22.28776	6.04819	0.234946	1.346297	1.806154	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.1728775796893	NA
"257008_at"	"At3g14210"	0.022715	0.022715	0.248558	0.930373	6.11542	102.721	1.23123	0.025	9.999e-05	0.3182	5.430813	5.270426	5.673258	5.666565	4.712036	54.85948	55.35528	26.4303	47.46684	46.60717	25.99119	107.5628	109.4387	0.903765	82.62661	79.31908	-1.81109	0.962294	1.47743	0.084361	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-15.8035692349492	NA
"257010_at"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"At3g14090"	0.031156	0.031156	0.074647	0.681995	0.202	12.6915	4.36216	0.6591	5e-04	0.0308	-0.64799	-0.61385	-0.70776	-0.37848	-0.80652	0.605161	0.694478	0.618412	0.619459	0.852068	0.528626	-2.14279	12.30016	14.75921	17.18273	61.18528	37.55037	0.087179	1.507669	1.0526	6	NA	22.6918635291543
